Administrador;admin;1234;1;;;
Felipe Gomes Carvalho;felipegomes@aluno.com;1234;3;11938403693;felipegomes@gmail.com;ADS2R06
Amanda Pereira Correia;amandapereira@aluno.com;1234;3;11971225721;AmandaPereiraCorreia@gmail.com;ADS2R06
Ana Azevedo Sousa;anasouza@aluno.com;1234;3;11980863221;AnaAzevedoSousa@outlook.com;ADS2R06
Antonio Ribeiro Cunha;antonioribeiro@aluno.com;1234;3;11947454267;AntonioRibeiroCunha@outlook.com;ADS2S06
Rafaela Cavalcanti Santos;rafaelasantos@aluno.com;1234;3;11949149938;RafaelaCavalcantiSantos@gmail.com;ADS2S06
Eduardo Santos Pereira;eduardosantos@aluno.com;1234;3;11930667539;EduardoSantosPereira@outlook.com;ADS2S06
Amanda Silva Azevedo;amandasilva@professor.com;1234;2;11929342963;AmandaSilvaAzevedo@gmail.com;ADS2R06
Emily Sousa Pinto;emilysousa@professor.com;1234;2;11984078155;EmilySousaPinto@outlook.com;ADS2S06
Thiago Martins Barbosa;thiagomartins@professor.com;1234;2;11965873839;ThiagoMartinsBarbosa@outlook.com;ADS2R06
Paulo Martins Dias;paulomartins@professor.com;1234;2;11953793553;PauloMartinsDias@gmail.com;ADS2S06
